userid, password,residence_state, high_school_name, high_school_city, high_school_state,GPA, college_class,major_1,major_2, SAT_math, SAT_EBRW, ACT_English, ACT_math, ACT_reading, ACT_science, ACT_composite, SAT_literature, SAT_US_hist, SAT_world_hist, SAT_math_I, SAT_math_II, SAT_eco_bio, SAT_mol_bio, SAT_chemistry, SAT_physics,num_AP_passed
user342,Password!342,CO,Fairview High School,Boulder,CO,3.5,2026,Prepress/Desktop Publishing and Digital Imaging Design,,630,680,27,24,22,23,24,,,,,,,,,,2
user343,Password!343,TX,Carroll Senior High School,Southlake,TX,3.6,2027,"Fiber, Textile and Weaving Arts",,690,710,27,28,22,21,25,,,,,,,,,,1
user344,Password!344,AR,Haas Hall Academy,Fayetteville,AR,3.5,2026,Elementary Education and Teaching,,540,710,26,23,24,26,25,,,,,,,,,,2
user345,Password!345,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.8,2026,Pre-Engineering,,760,660,25,22,30,24,25,,,,,,,,,,2
user346,Password!346,MO,Parkway Central High School,Chesterfield,MO,3.5,2026,Art Teacher Education,,650,650,24,26,24,27,25,,,,,,,,,,1
user347,Password!347,GA,Walton High School,Marietta,GA,3.3,2026,Medical/Health Management and Clinical Assistant/Specialist,,690,680,26,27,23,24,25,,,,,,,,,,1
user348,Password!348,SC,Academic Magnet High School,North Charleston,SC,3.5,2024,Historic Preservation and Conservation,,740,700,23,24,24,27,25,,,,,,,,,,2
user349,Password!349,MA,Lexington High School,Lexington,MA,3.7,2027,Radio and Television,,560,700,29,24,30,23,27,,,,,,,,,,1
user350,Password!350,NJ,Academy for Information Technology,Scotch Plains,NJ,3.3,2026,Women's Studies,,680,680,23,27,27,28,26,,,,,,,,,,1
user351,Password!351,CA,Canyon Crest Academy,San Diego,CA,3.6,2026,Experimental Psychology,,680,660,23,23,23,28,24,,,,,,,,,,2
user352,Password!352,TX,Carroll Senior High School,Southlake,TX,3.4,2025,Autobody/Collision and Repair Technology/Technician,,690,690,21,22,27,23,23,,,,,,,,,,2
user353,Password!353,PA,Radnor Senior High School,Radnor,PA,3.5,2024,Optics/Optical Sciences,,650,580,26,28,22,24,25,,,,,,,,,,1
user354,Password!354,KS,Blue Valley North High School,Overland Park,KS,3.3,2027,Environmental Studies,,680,680,24,24,24,27,25,,,,,,,,,,1
user355,Password!355,GA,Walton High School,Marietta,GA,3.6,2025,Physical Sciences,,630,680,24,25,20,26,24,,,,,,,,,,1
user356,Password!356,AR,Haas Hall Academy,Fayetteville,AR,3.3,2024,Printing Management,,760,640,21,27,23,22,23,,,,,,,,,,1
user357,Password!357,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2024,Population Biology,,770,670,23,26,27,20,24,,,,,,,,,,1
user358,Password!358,KS,Blue Valley North High School,Overland Park,KS,3.4,2026,Massage Therapy/Therapeutic Massage,,650,680,24,23,24,30,25,,,,,,,,,,1
user359,Password!359,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.6,2026,Ecology,,650,670,28,29,21,26,26,,,,,,,,,,2
user360,Password!360,GA,Walton High School,Marietta,GA,3.7,2026,Human Computer Interaction,,600,670,24,26,27,27,26,,,,,,,,,,2
user361,Password!361,KY,The Gatton Academy,Bowling Green,KY,3.6,2027,Child Care and Support Services Management,,520,650,25,20,24,23,23,,,,,,,,,,2
user362,Password!362,PA,Radnor Senior High School,Radnor,PA,3.4,2027,Business/Managerial Economics,,660,610,21,23,26,22,23,,,,,,,,,,1
user363,Password!363,SC,Academic Magnet High School,North Charleston,SC,3.4,2025,Pre-Nursing Studies,,700,590,29,27,23,29,27,,,,,,,,,,1
user364,Password!364,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.5,2024,"Mechatronics, Robotics, and Automation Engineering",,610,720,26,25,28,29,27,,,,,,,,,,2
user365,Password!365,CO,Fairview High School,Boulder,CO,3.5,2026,Organizational Leadership,,590,670,24,26,21,26,24,,,,,,,,,,2
user366,Password!366,CA,Canyon Crest Academy,San Diego,CA,3.5,2025,Computational and Applied Mathematics,,690,680,26,24,22,28,25,,,,,,,,,,2
user367,Password!367,NH,Hanover High School,Hanover,NH,3.5,2026,Religious/Sacred Music,,580,690,23,27,28,26,26,,,,,,,,,,2
user368,Password!368,TX,Carroll Senior High School,Southlake,TX,3.3,2024,Welding Technology/Welder,,640,600,24,22,21,22,22,,,,,,,,,,1
user369,Password!369,GA,Walton High School,Marietta,GA,3.7,2025,Illustration,,660,660,26,26,23,26,25,,,,,,,,,,1
user370,Password!370,WA,Bellevue High School,Bellevue,WA,3.5,2027,Organic Chemistry,,680,600,21,24,23,27,24,,,,,,,,,,2
user371,Password!371,AZ,BASIS Tucson North,Tucson,AZ,3.5,2024,Natural Resources/Conservation,,690,660,24,24,23,26,24,,,,,,,,,,2
user372,Password!372,AZ,BASIS Tucson North,Tucson,AZ,3.4,2026,American Sign Language,,630,650,23,20,26,24,23,,,,,,,,,,2
user373,Password!373,MO,Parkway Central High School,Chesterfield,MO,3.5,2025,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",,690,540,18,21,28,27,24,,,,,,,,,,2
user374,Password!374,NH,Hanover High School,Hanover,NH,3.6,2025,Biopsychology,,730,690,24,29,22,23,25,,,,,,,,,,2
user375,Password!375,VA,McLean High School,McLean,VA,3.4,2026,Rhetoric and Composition,,650,620,21,23,23,22,22,,,,,,,,,,1
user376,Password!376,MI,International Academy,Bloomfield Hills,MI,3.6,2024,Consumer Economics,,560,640,27,21,20,28,24,,,,,,,,,,1
user377,Password!377,CA,Canyon Crest Academy,San Diego,CA,3.5,2024,Speech-Language Pathology/Pathologist,,690,580,22,27,25,26,25,,,,,,,,,,1
user378,Password!378,PA,Radnor Senior High School,Radnor,PA,3.5,2024,Kindergarten/Preschool Education and Teaching,,740,630,21,27,28,23,25,,,,,,,,,,1
user379,Password!379,AL,Mt Brook High School,Mountain Brook,AL,3.3,2026,Sculpture,,660,560,24,20,24,26,24,,,,,,,,,,2
user380,Password!380,PA,Radnor Senior High School,Radnor,PA,3.5,2026,Aeronautical/Aerospace Engineering Technology/Technician,,650,640,26,21,27,26,25,,,,,,,,,,1
user381,Password!381,CO,Fairview High School,Boulder,CO,3.4,2027,Science Technologies/Technicians,,590,590,20,29,28,20,24,,,,,,,,,,2
user382,Password!382,KY,The Gatton Academy,Bowling Green,KY,3.6,2025,Hebrew Language and Literature,,690,640,22,24,24,28,25,,,,,,,,,,1
user383,Password!383,NC,North Carolina School of Science and Mathematics,Durham,NC,3.5,2025,Horticultural Science,,700,650,26,26,22,24,25,,,,,,,,,,2
user384,Password!384,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.2,2024,Construction Management,,610,690,27,24,21,26,25,,,,,,,,,,2
user385,Password!385,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2026,Caribbean Studies,,690,660,28,24,28,24,26,,,,,,,,,,2
user386,Password!386,AL,Mt Brook High School,Mountain Brook,AL,3.4,2027,"Foods, Nutrition",,700,690,27,24,24,22,24,,,,,,,,,,2
user387,Password!387,MA,Lexington High School,Lexington,MA,3.6,2025,Physician Assistant,,630,700,23,25,21,21,23,,,,,,,,,,2
user388,Password!388,VA,McLean High School,McLean,VA,3.7,2024,Multi-/Interdisciplinary Studies,,630,660,20,24,26,26,24,,,,,,,,,,1
user389,Password!389,SC,Academic Magnet High School,North Charleston,SC,3.6,2027,Ecology and Evolutionary Biology,,680,620,23,27,27,25,26,,,,,,,,,,2
user390,Password!390,OH,Madeira High School,Cincinnati,OH,3.2,2024,Agricultural Business and Management,,590,660,28,25,30,23,27,,,,,,,,,,2
user391,Password!391,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2024,French Language Teacher Education,,680,690,23,26,20,22,23,,,,,,,,,,1
user392,Password!392,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.7,2024,"South Asian Languages, Literatures, and Linguistics",,700,640,22,24,22,20,22,,,,,,,,,,2
user393,Password!393,NJ,Academy for Information Technology,Scotch Plains,NJ,3.7,2024,Computer/Information Technology Services Administration and Management,,600,650,20,28,18,21,22,,,,,,,,,,2
user394,Password!394,TX,Carroll Senior High School,Southlake,TX,3.4,2025,Health Professions,,760,600,27,27,27,24,26,,,,,,,,,,2
user395,Password!395,GA,Walton High School,Marietta,GA,3.6,2025,Ceramic Arts and Ceramics,,640,770,22,30,23,20,24,,,,,,,,,,2
user396,Password!396,NM,Volcano Vista High School,Albuquerque,NM,3.5,2027,Natural Resources and Conservation,,680,680,27,28,23,27,26,,,,,,,,,,2
user397,Password!397,NC,North Carolina School of Science and Mathematics,Durham,NC,3.4,2025,Molecular Biology,,620,630,28,25,27,29,27,,,,,,,,,,1
user398,Password!398,WI,Whitefish Bay High School,Whitefish Bay,WI,3.4,2027,School Librarian/School Library Media Specialist,,540,640,25,22,25,22,24,,,,,,,,,,2
user399,Password!399,AL,Mt Brook High School,Mountain Brook,AL,3.4,2027,Resort Management,,660,630,24,27,24,23,25,,,,,,,,,,1
user400,Password!400,SC,Academic Magnet High School,North Charleston,SC,3.5,2024,Industrial Technology/Technician,,630,540,22,22,21,26,23,,,,,,,,,,2
user401,Password!401,WI,Whitefish Bay High School,Whitefish Bay,WI,3.5,2026,English Language and Literature,,580,620,25,24,26,25,25,,,,,,,,,,1
user402,Password!402,MA,Lexington High School,Lexington,MA,3.5,2026,"Parks, Recreation and Leisure Facilities Management",,660,520,28,25,29,23,26,,,,,,,,,,1
user403,Password!403,OH,Madeira High School,Cincinnati,OH,3.7,2026,Junior High/Intermediate/Middle School Education and Teaching,,720,670,26,24,27,29,27,,,,,,,,,,2
user404,Password!404,NC,North Carolina School of Science and Mathematics,Durham,NC,3.6,2024,Legal Studies,,520,610,24,26,27,24,25,,,,,,,,,,1
user405,Password!405,KS,Blue Valley North High School,Overland Park,KS,3.5,2024,Family and Consumer Sciences/Home Economics Teacher Education,,690,670,24,25,22,26,24,,,,,,,,,,1
user406,Password!406,WI,Whitefish Bay High School,Whitefish Bay,WI,3.6,2024,Polish Language and Literature,,660,640,29,22,26,26,26,,,,,,,,,,2
user407,Password!407,MI,International Academy,Bloomfield Hills,MI,3.6,2027,Landscape Architecture,,690,680,27,21,26,28,26,,,,,,,,,,2
user408,Password!408,NH,Hanover High School,Hanover,NH,3.5,2025,Environmental Toxicology,,700,690,21,21,29,28,25,,,,,,,,,,1
user409,Password!409,TX,Carroll Senior High School,Southlake,TX,3.4,2025,Sports Communication,,670,620,18,24,24,22,22,,,,,,,,,,2
user410,Password!410,CA,Canyon Crest Academy,San Diego,CA,3.4,2024,Sport and Fitness Administration/Management,,570,590,22,23,25,28,25,,,,,,,,,,1
user411,Password!411,AR,Haas Hall Academy,Fayetteville,AR,3.5,2025,Project Management,,690,690,24,25,28,29,27,,,,,,,,,,1
user412,Password!412,WA,Bellevue High School,Bellevue,WA,3.5,2026,Criminology,,730,680,22,26,24,27,25,,,,,,,,,,2
user413,Password!413,KY,The Gatton Academy,Bowling Green,KY,3.6,2025,Social Work,,600,620,23,23,24,26,24,,,,,,,,,,1
user414,Password!414,KS,Blue Valley North High School,Overland Park,KS,3.5,2027,Folklore Studies,,650,700,26,22,29,27,26,,,,,,,,,,1
user415,Password!415,AR,Haas Hall Academy,Fayetteville,AR,3.5,2027,Actuarial Science,,690,700,24,25,24,25,25,,,,,,,,,,2
user416,Password!416,CO,Fairview High School,Boulder,CO,3.5,2027,Health Communication,,680,700,23,24,26,24,24,,,,,,,,,,1
user417,Password!417,SC,Academic Magnet High School,North Charleston,SC,3.5,2026,Entomology,,580,740,29,23,22,24,25,,,,,,,,,,1
user418,Password!418,MA,Lexington High School,Lexington,MA,3.7,2024,Modern Languages,,680,700,27,24,21,24,24,,,,,,,,,,1
user419,Password!419,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2024,Restaurant/Food Services Management,,640,680,26,26,29,28,27,,,,,,,,,,2
user420,Password!420,MN,Eagan Senior High School,Eagan,MN,3.4,2024,Natural Sciences,,690,540,26,24,27,25,26,,,,,,,,,,2
user421,Password!421,NH,Hanover High School,Hanover,NH,3.5,2025,Tool and Die Technology/Technician,,640,650,25,30,27,27,27,,,,,,,,,,2
user422,Password!422,AR,Haas Hall Academy,Fayetteville,AR,3.5,2024,Health and Wellness,,740,590,25,23,25,28,25,,,,,,,,,,1
user423,Password!423,AR,Haas Hall Academy,Fayetteville,AR,3.4,2026,Science Teacher Education/General Science Teacher Education,,580,640,27,27,24,27,26,,,,,,,,,,2
user424,Password!424,AL,Mt Brook High School,Mountain Brook,AL,3.4,2027,International Agriculture,,630,630,24,24,20,26,24,,,,,,,,,,1
user425,Password!425,KY,The Gatton Academy,Bowling Green,KY,3.5,2027,Organizational Behavior Studies,,630,590,24,25,26,24,25,,,,,,,,,,1
user426,Password!426,MI,International Academy,Bloomfield Hills,MI,3.5,2025,Pre-Dentistry Studies,,700,610,27,25,24,20,24,,,,,,,,,,2
user427,Password!427,MO,Parkway Central High School,Chesterfield,MO,3.4,2025,American Government and Politics,,620,690,24,27,25,24,25,,,,,,,,,,2
user428,Password!428,NY,Brooklyn Technical High School,Brooklyn,NY,3.5,2027,Marine Biology and Biological Oceanography,,690,580,23,22,21,21,22,,,,,,,,,,2
user429,Password!429,PA,Radnor Senior High School,Radnor,PA,3.5,2027,Chemical Engineering,,670,590,26,26,24,26,26,,,,,,,,,,2
user430,Password!430,MA,Lexington High School,Lexington,MA,3.5,2025,Ethnic Studies,,630,700,24,27,26,26,26,,,,,,,,,,2
user431,Password!431,WA,Bellevue High School,Bellevue,WA,3.6,2026,School Psychology,,700,650,21,23,26,25,24,,,,,,,,,,2
user432,Password!432,CA,Canyon Crest Academy,San Diego,CA,3.5,2024,"Scandinavian Languages, Literatures, and Linguistics",,660,680,27,24,27,27,26,,,,,,,,,,1
user433,Password!433,TX,Carroll Senior High School,Southlake,TX,3.5,2025,Nuclear and Industrial Radiologic Technologies/Technicians,,640,630,25,22,24,25,24,,,,,,,,,,2
user434,Password!434,NH,Hanover High School,Hanover,NH,3.3,2026,Geophysics and Seismology,,640,580,24,26,28,22,25,,,,,,,,,,1
user435,Password!435,TX,Carroll Senior High School,Southlake,TX,3.4,2025,Operations Research,,700,650,26,24,23,22,24,,,,,,,,,,1
user436,Password!436,NC,North Carolina School of Science and Mathematics,Durham,NC,3.4,2025,Business Statistics,,700,690,21,25,28,22,24,,,,,,,,,,2
user437,Password!437,NY,Brooklyn Technical High School,Brooklyn,NY,3.4,2027,Human Development and Family Studies,,670,580,24,22,27,26,25,,,,,,,,,,2
user438,Password!438,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2026,Latin Teacher Education,,640,580,23,21,30,27,25,,,,,,,,,,2
user439,Password!439,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.7,2024,Construction Engineering,,700,710,26,27,27,24,26,,,,,,,,,,2
user440,Password!440,NY,Brooklyn Technical High School,Brooklyn,NY,3.5,2025,"Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology",,640,700,22,24,28,26,25,,,,,,,,,,1
user441,Password!441,AZ,BASIS Tucson North,Tucson,AZ,3.7,2026,Agriculture,,610,700,24,27,23,24,25,,,,,,,,,,2
user442,Password!442,CA,Canyon Crest Academy,San Diego,CA,3.8,2027,Sign Language Interpretation and Translation,,700,650,23,26,20,24,23,,,,,,,,,,2
user443,Password!443,WI,Whitefish Bay High School,Whitefish Bay,WI,3.6,2025,Applied Psychology,,650,650,28,23,29,25,26,,,,,,,,,,1
user444,Password!444,SC,Academic Magnet High School,North Charleston,SC,3.4,2027,Paper Science and Engineering,,690,680,22,27,24,25,25,,,,,,,,,,1
user445,Password!445,MN,Eagan Senior High School,Eagan,MN,3.7,2024,Petroleum Engineering,,680,540,23,28,28,27,27,,,,,,,,,,1
user446,Password!446,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.6,2024,Corrections and Criminal Justice,,690,520,27,20,27,23,24,,,,,,,,,,2
user447,Password!447,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.7,2026,German Language Teacher Education,,560,580,25,27,24,23,25,,,,,,,,,,1
user448,Password!448,MN,Eagan Senior High School,Eagan,MN,3.6,2026,Fine and Studio Arts Management,,660,700,26,23,24,24,24,,,,,,,,,,2
user449,Password!449,VA,McLean High School,McLean,VA,3.5,2024,Natural Resources Law Enforcement and Protective Services,,650,620,26,27,24,28,26,,,,,,,,,,1
user450,Password!450,SC,Academic Magnet High School,North Charleston,SC,3.7,2024,Automobile/Automotive Mechanics Technology/Technician,,680,630,29,26,26,27,27,,,,,,,,,,1
user451,Password!451,CA,Canyon Crest Academy,San Diego,CA,3.4,2026,Civil Engineering,,670,610,21,22,26,27,24,,,,,,,,,,2
user452,Password!452,OH,Madeira High School,Cincinnati,OH,3.7,2025,Japanese Studies,,680,680,28,21,23,20,23,,,,,,,,,,2
user453,Password!453,TX,Carroll Senior High School,Southlake,TX,3.6,2024,Medical/Clinical Assistant,,650,690,22,23,24,22,23,,,,,,,,,,1
user454,Password!454,NY,Brooklyn Technical High School,Brooklyn,NY,3.6,2024,Computer Engineering,,590,580,29,22,27,23,25,,,,,,,,,,2
user455,Password!455,SC,Academic Magnet High School,North Charleston,SC,3.5,2025,Physiology,,600,680,28,26,27,26,27,,,,,,,,,,2
user456,Password!456,KY,The Gatton Academy,Bowling Green,KY,3.4,2027,"Web Page, Digital/Multimedia and Information Resources Design",,650,710,27,21,25,26,25,,,,,,,,,,1
user457,Password!457,NJ,Academy for Information Technology,Scotch Plains,NJ,3.5,2024,Biophysics,,620,630,26,27,26,26,26,,,,,,,,,,1
user458,Password!458,CA,Canyon Crest Academy,San Diego,CA,3.5,2024,Applied Economics,,670,580,27,25,25,23,25,,,,,,,,,,1
user459,Password!459,SC,Academic Magnet High School,North Charleston,SC,3.5,2025,Graphic Communications,,670,700,26,28,24,24,26,,,,,,,,,,1
user460,Password!460,AR,Haas Hall Academy,Fayetteville,AR,3.7,2025,"Radio, Television, and Digital Communication",,640,710,26,27,24,22,25,,,,,,,,,,2
user461,Password!461,NH,Hanover High School,Hanover,NH,3.5,2027,Laser and Optical Engineering,,700,720,27,22,27,29,26,,,,,,,,,,1
user462,Password!462,MN,Eagan Senior High School,Eagan,MN,3.4,2027,Accounting and Finance,,700,630,25,24,27,25,25,,,,,,,,,,1
user463,Password!463,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.4,2024,Photography,,650,690,24,30,24,24,26,,,,,,,,,,2
user464,Password!464,MN,Eagan Senior High School,Eagan,MN,3.6,2025,Forestry,,610,650,26,20,21,23,23,,,,,,,,,,1
user465,Password!465,NY,Brooklyn Technical High School,Brooklyn,NY,3.4,2025,"East Asian Languages, Literatures, and Linguistics",,770,650,23,25,23,24,24,,,,,,,,,,1
user466,Password!466,MN,Eagan Senior High School,Eagan,MN,3.4,2026,Latin Language and Literature,,660,690,22,28,28,26,26,,,,,,,,,,1
user467,Password!467,CA,Canyon Crest Academy,San Diego,CA,3.5,2026,Developmental and Child Psychology,,640,650,28,20,26,24,25,,,,,,,,,,1
user468,Password!468,NJ,Academy for Information Technology,Scotch Plains,NJ,3.4,2024,Environmental/Environmental Health Engineering,,630,700,28,28,24,22,26,,,,,,,,,,1
user469,Password!469,NM,Volcano Vista High School,Albuquerque,NM,3.7,2025,Materials Science,,610,620,27,30,25,22,26,,,,,,,,,,2
user470,Password!470,MN,Eagan Senior High School,Eagan,MN,3.6,2024,Diesel Mechanics Technology/Technician,,680,560,27,24,24,24,25,,,,,,,,,,1
user471,Password!471,MI,International Academy,Bloomfield Hills,MI,3.6,2025,Molecular Biochemistry,,650,690,25,28,27,25,26,,,,,,,,,,1
user472,Password!472,NJ,Academy for Information Technology,Scotch Plains,NJ,3.3,2027,Liberal Arts and Sciences Studies and Humanities,,710,660,25,25,29,23,26,,,,,,,,,,2
user473,Password!473,NY,Brooklyn Technical High School,Brooklyn,NY,3.5,2024,Political Communication,,620,710,23,27,23,27,25,,,,,,,,,,1
user474,Password!474,CA,Canyon Crest Academy,San Diego,CA,3.5,2025,Organizational Communication,,580,670,27,25,25,24,25,,,,,,,,,,1
user475,Password!475,AL,Mt Brook High School,Mountain Brook,AL,3.6,2027,Labor and Industrial Relations,,650,700,28,22,28,23,25,,,,,,,,,,1
user476,Password!476,OH,Madeira High School,Cincinnati,OH,3.6,2026,Clinical Laboratory Science/Medical Technology/Technologist,,680,600,27,23,21,22,23,,,,,,,,,,1
user477,Password!477,SC,Academic Magnet High School,North Charleston,SC,3.5,2024,Geology/Earth Science,,690,660,24,27,22,25,25,,,,,,,,,,1
user478,Password!478,TX,Carroll Senior High School,Southlake,TX,3.5,2026,Biochemistry,,640,700,24,23,23,26,24,,,,,,,,,,1
user479,Password!479,VA,McLean High School,McLean,VA,3.7,2026,International and Intercultural Communication,,660,700,24,23,27,20,24,,,,,,,,,,2
user480,Password!480,OH,Madeira High School,Cincinnati,OH,3.6,2024,International Economics,,700,660,21,23,20,27,23,,,,,,,,,,2
user481,Password!481,MA,Lexington High School,Lexington,MA,3.5,2026,Biological/Biosystems Engineering,,610,660,28,20,24,25,24,,,,,,,,,,1
user482,Password!482,MI,International Academy,Bloomfield Hills,MI,3.4,2027,Public Health,,660,580,27,27,27,26,27,,,,,,,,,,1
user483,Password!483,AL,Mt Brook High School,Mountain Brook,AL,3.5,2026,"Art History, Criticism and Conservation",,700,650,27,22,24,23,24,,,,,,,,,,2
user484,Password!484,CA,Canyon Crest Academy,San Diego,CA,3.5,2026,Religious Education,,740,590,23,27,22,27,25,,,,,,,,,,2
user485,Password!485,AL,Mt Brook High School,Mountain Brook,AL,3.4,2024,Network and System Administration/Administrator,,610,720,24,22,23,23,23,,,,,,,,,,1
user486,Password!486,MO,Parkway Central High School,Chesterfield,MO,3.4,2027,Environmental Chemistry,,640,580,24,27,27,25,26,,,,,,,,,,2
user487,Password!487,NC,North Carolina School of Science and Mathematics,Durham,NC,3.4,2026,Criminal Justice/Police Science,,650,650,24,25,27,26,26,,,,,,,,,,1
user488,Password!488,AZ,BASIS Tucson North,Tucson,AZ,3.4,2024,Community Organization and Advocacy,,710,600,23,21,26,26,24,,,,,,,,,,2
user489,Password!489,WI,Whitefish Bay High School,Whitefish Bay,WI,3.2,2025,"Slavic Languages, Literatures, and Linguistics",,650,660,18,27,29,26,25,,,,,,,,,,2
user490,Password!490,NY,Brooklyn Technical High School,Brooklyn,NY,3.5,2025,Business Teacher Education,,660,590,24,28,26,27,26,,,,,,,,,,2
user491,Password!491,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2026,Theatre/Theatre Arts Management,,630,700,28,28,24,26,27,,,,,,,,,,1
user492,Password!492,TX,Carroll Senior High School,Southlake,TX,3.6,2025,"Science, Technology and Society",,740,670,20,28,26,23,24,,,,,,,,,,2
user493,Password!493,AZ,BASIS Tucson North,Tucson,AZ,3.6,2025,Management Science,,690,670,24,23,25,29,25,,,,,,,,,,1
user494,Password!494,AL,Mt Brook High School,Mountain Brook,AL,3.3,2024,Technical and Scientific Communication,,690,610,28,23,24,26,25,,,,,,,,,,1
user495,Password!495,OH,Madeira High School,Cincinnati,OH,3.6,2025,Teaching French as a Second or Foreign Language,,580,690,26,24,23,25,25,,,,,,,,,,2
user496,Password!496,SC,Academic Magnet High School,North Charleston,SC,3.4,2025,Biomedical Sciences,,680,590,27,23,28,25,26,,,,,,,,,,2
user497,Password!497,VA,McLean High School,McLean,VA,3.4,2025,Mechanics and Repairers,,720,580,20,26,27,24,24,,,,,,,,,,2
user498,Password!498,OH,Madeira High School,Cincinnati,OH,3.7,2027,Latin American and Caribbean Studies,,670,730,26,24,25,26,25,,,,,,,,,,1
user499,Password!499,WI,Whitefish Bay High School,Whitefish Bay,WI,3.4,2026,Commercial and Advertising Art,,760,580,26,26,28,28,27,,,,,,,,,,1
user500,Password!500,NM,Volcano Vista High School,Albuquerque,NM,3.7,2025,Human Resources Management/Personnel Administration,,650,650,24,30,20,23,24,,,,,,,,,,2
user501,Password!501,OH,Madeira High School,Cincinnati,OH,3.4,2027,Mathematical Statistics and Probability,,710,740,29,29,28,26,28,,,,,,,,,,1
user502,Password!502,KS,Blue Valley North High School,Overland Park,KS,3.5,2026,South Asian Studies,,700,610,24,23,26,23,24,,,,,,,,,,1
user503,Password!503,WI,Whitefish Bay High School,Whitefish Bay,WI,3.6,2024,Ballet,,680,650,27,25,26,23,25,,,,,,,,,,1
user504,Password!504,AR,Haas Hall Academy,Fayetteville,AR,3.5,2024,Japanese Language and Literature,,580,650,26,23,28,27,26,,,,,,,,,,2
user505,Password!505,MO,Parkway Central High School,Chesterfield,MO,3.4,2025,Biostatistics,,690,640,27,26,26,27,27,,,,,,,,,,1
user506,Password!506,WA,Bellevue High School,Bellevue,WA,3.5,2024,Urban Education and Leadership,,690,660,28,25,24,25,26,,,,,,,,,,2
user507,Password!507,MN,Eagan Senior High School,Eagan,MN,3.7,2024,Accounting and Business/Management,,680,700,23,23,23,24,23,,,,,,,,,,2
user508,Password!508,OH,Madeira High School,Cincinnati,OH,3.6,2026,Nursing Administration,,680,560,29,30,24,28,28,,,,,,,,,,1
user509,Password!509,MO,Parkway Central High School,Chesterfield,MO,3.6,2024,Speech Teacher Education,,660,710,27,23,27,27,26,,,,,,,,,,1
user510,Password!510,SC,Academic Magnet High School,North Charleston,SC,3.7,2026,Ornamental Horticulture,,680,690,28,18,24,29,25,,,,,,,,,,2
user511,Password!511,AR,Haas Hall Academy,Fayetteville,AR,3.7,2026,Percussion Instruments,,580,650,25,24,27,27,26,,,,,,,,,,1
user512,Password!512,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.4,2025,Culinary Arts,,660,690,22,22,27,26,24,,,,,,,,,,2
user513,Password!513,OH,Madeira High School,Cincinnati,OH,3.3,2024,Registered Nursing/Registered Nurse,,690,610,23,26,24,25,25,,,,,,,,,,2
user514,Password!514,AR,Haas Hall Academy,Fayetteville,AR,3.5,2024,Turf and Turfgrass Management,,620,720,25,24,24,25,25,,,,,,,,,,2
user515,Password!515,NY,Brooklyn Technical High School,Brooklyn,NY,3.4,2026,Fine Arts and Art Studies,,680,690,24,24,23,26,24,,,,,,,,,,2
user516,Password!516,AR,Haas Hall Academy,Fayetteville,AR,3.5,2025,Data Modeling/Warehousing and Database Administration,,610,690,27,29,23,24,26,,,,,,,,,,2
user517,Password!517,AZ,BASIS Tucson North,Tucson,AZ,3.4,2026,Archeology,,650,740,27,22,24,27,25,,,,,,,,,,1
user518,Password!518,AL,Mt Brook High School,Mountain Brook,AL,3.5,2026,Family Resource Management Studies,,630,520,29,23,26,26,26,,,,,,,,,,1
user519,Password!519,NH,Hanover High School,Hanover,NH,3.5,2027,Chinese Studies,,660,680,24,22,27,29,26,,,,,,,,,,1
user520,Password!520,TX,Carroll Senior High School,Southlake,TX,3.5,2026,"Logistics, Materials, and Supply Chain Management",,640,590,26,24,27,29,27,,,,,,,,,,1
user521,Password!521,CO,Fairview High School,Boulder,CO,3.4,2027,Medical Informatics,,680,620,25,23,27,22,24,,,,,,,,,,1
user522,Password!522,CA,Canyon Crest Academy,San Diego,CA,3.4,2025,Electrical and Electronics Engineering,,700,690,25,24,22,20,23,,,,,,,,,,2
user523,Password!523,VA,McLean High School,McLean,VA,3.5,2025,Slavic Studies,,680,650,26,26,27,26,26,,,,,,,,,,2
user524,Password!524,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2025,Biotechnology,,660,720,27,20,26,23,24,,,,,,,,,,2
user525,Password!525,NC,North Carolina School of Science and Mathematics,Durham,NC,3.4,2024,Telecommunications Technology/Technician,,600,690,27,25,26,21,25,,,,,,,,,,2
